Period,Collections,A Interest Due,A Interest Paid,A Interest Shortfall,B Interest Due,B Interest Paid,B Interest Shortfall,A Prin Due,A Prin Paid,A Prin Shortfall,Cash Reserve,B Prin Due,B Prin Paid,B Prin Shortfall,A Balance,B Balance,Cash Reserve
54,80269.796146554,0.0,0.0,0,10798.04457284327,10798.04457284327,0,0.0,0.0,0,98439.67354224865,71233.01273299925,71233.01273299925,0,0.0,576649.6616375969,27206.6608092494
55,75015.74785324112,0.0,0.0,0,9610.82769395995,9610.82769395995,0,0.0,0.0,0,92611.58096853057,66986.4013376815,66986.4013376815,0,0.0,509663.2602999154,25625.179630849074
56,71006.51761214524,0.0,0.0,0,8494.387671665258,8494.387671665258,0,0.0,0.0,0,88137.30957132905,63920.31863022839,63920.31863022839,0,0.0,445742.941669687,24216.990941100667
57,67580.78594783401,0.0,0.0,0,7429.049027828117,7429.049027828117,0,0.0,0.0,0,84368.72786110656,61390.0309555677,61390.0309555677,0,0.0,384352.91071411927,22978.696905538854
58,59556.478048350815,0.0,0.0,0,6405.881845235322,6405.881845235322,0,0.0,0.0,0,76129.29310865435,54225.21839679885,54225.21839679885,0,0.0,330127.6923173204,21904.0747118555
59,54097.88280113017,0.0,0.0,0,5502.128205288674,5502.128205288674,0,0.0,0.0,0,70499.829307697,49520.8554377118,49520.8554377118,0,0.0,280606.83687960857,20978.973869985202
60,50142.660915010885,0.0,0.0,0,4676.780614660143,4676.780614660143,0,0.0,0.0,0,66444.85417033595,46255.81878451256,46255.81878451256,0,0.0,234351.01809509602,20189.035385823394
61,44826.532175214175,0.0,0.0,0,3905.850301584934,3905.850301584934,0,0.0,0.0,0,61109.717259452635,41582.4269212113,41582.4269212113,0,0.0,192768.59117388472,19527.290338241335
62,40020.42352504991,0.0,0.0,0,3212.809852898079,3212.809852898079,0,0.0,0.0,0,56334.90401039317,37350.56698712089,37350.56698712089,0,0.0,155418.02418676383,18984.33702327228
63,33849.35788040466,0.0,0.0,0,2590.3004031127307,2590.3004031127307,0,0.0,0.0,0,50243.394500564216,31697.461699327545,31697.461699327545,0,0.0,123720.56248743628,18545.93280123667
64,29501.349771776833,0.0,0.0,0,2062.009374790605,2062.009374790605,0,0.0,0.0,0,45985.2731982229,27789.217463062996,27789.217463062996,0,0.0,95931.3450243733,18196.055735159905
65,24082.62647250574,0.0,0.0,0,1598.8557504062217,1598.8557504062217,0,0.0,0.0,0,40679.82645725943,22755.928850114513,22755.928850114513,0,0.0,73175.41617425877,17923.897607144914
66,21193.298205052768,0.0,0.0,0,1219.5902695709797,1219.5902695709797,0,0.0,0.0,0,37897.6055426267,20182.512938348962,20182.512938348962,0,0.0,52992.90323590981,17715.092604277736
67,17112.561001501315,0.0,0.0,0,883.2150539318303,883.2150539318303,0,0.0,0.0,0,33944.43855184722,16381.177725328183,16381.177725328183,0,0.0,36611.72551058163,17563.260826519036
68,15424.466334966475,0.0,0.0,0,610.1954251763606,610.1954251763606,0,0.0,0.0,0,32377.531736309153,14919.783206183678,14919.783206183678,0,0.0,21691.94230439795,17457.748530125475
69,9179.184857564378,0.0,0.0,0,361.53237173996587,361.53237173996587,0,0.0,0.0,0,26275.401015949887,8881.668667720745,8881.668667720745,0,0.0,12810.273636677206,17393.73234822914
70,7189.737781509639,0.0,0.0,0,213.5045606112868,213.5045606112868,0,0.0,0.0,0,24369.965569127493,7013.490633397105,7013.490633397105,0,0.0,5796.783003280101,17356.474935730388
71,5876.6747833335,0.0,0.0,0,96.61305005466835,96.61305005466835,0,0.0,0.0,0,23136.53666900922,5796.783003279402,5796.783003279402,0,0.0,6.994014256633818e-10,17339.75366572982
